target,cumulative_passthrough,n_obs,term,estimate,std.error,statistic,p.value,conf.low,conf.high,is_fx
ImportDeflator,-0.6700424829723777,76,(Intercept),-0.008874510633886014,0.0018197624535946535,-4.876741256176496,6.652491864913619e-6,-0.012504837397268966,-0.0052441838705030615,FALSE
ImportDeflator,-0.6700424829723777,76,dlog_fx,-0.28676275944297286,0.05358675022806451,-5.3513743270960505,1.0768679957171678e-6,-0.3936654011209469,-0.17986011776499883,TRUE
ImportDeflator,-0.6700424829723777,76,dlog_fx_lag1,-0.2577344996015516,0.052411006519817734,-4.917564395640763,5.7031737658356525e-6,-0.3622915967594176,-0.15317740244368563,TRUE
ImportDeflator,-0.6700424829723777,76,dlog_fx_lag2,-0.06571304183592219,0.05302002472767664,-1.2394004373524887,0.21939632214411187,-0.1714850970752731,0.0400590134034287,TRUE
ImportDeflator,-0.6700424829723777,76,dlog_fx_lag3,-0.0633902213706592,0.05212207931334951,-1.2161875006859846,0.2280577350563656,-0.16737092452268162,0.040590481781363236,TRUE
ImportDeflator,-0.6700424829723777,76,dlog_fx_lag4,0.0035580392787282174,0.049666143478107605,0.07163912938592805,0.9430963450667176,-0.09552320593898081,0.10263928449643725,TRUE
ImportDeflator,-0.6700424829723777,76,dlog_cpi,2.057720129365243,0.2027779877933254,10.147650402086565,2.5413048557337795e-15,1.653189112332277,2.4622511463982093,FALSE
ExportDeflator,-0.45676775528670704,76,(Intercept),-0.005435674818616495,0.0016824276489150873,-3.2308520500847018,0.0018924327423884438,-0.008792026143069297,-0.0020793234941636914,FALSE
ExportDeflator,-0.45676775528670704,76,dlog_fx,-0.1593015614855527,0.0495426367442157,-3.215443746121401,0.0019828644460583612,-0.25813641751074917,-0.06046670546035621,TRUE
ExportDeflator,-0.45676775528670704,76,dlog_fx_lag1,-0.11912898301196413,0.04845562469004077,-2.4585171231204677,0.016464817497626075,-0.21579530932351804,-0.022462656700410227,TRUE
ExportDeflator,-0.45676775528670704,76,dlog_fx_lag2,-0.08185566317650753,0.04901868118654697,-1.6698870960031575,0.09947264480233302,-0.1796452564642128,0.015933930111197758,TRUE
ExportDeflator,-0.45676775528670704,76,dlog_fx_lag3,-0.04395727206801003,0.048188502396289884,-0.9121941932645404,0.3648426434945319,-0.14009070398437268,0.05217615984835262,TRUE
ExportDeflator,-0.45676775528670704,76,dlog_fx_lag4,-0.05252427554467271,0.04591791243823774,-1.1438733329900594,0.256629068737289,-0.1441280044346307,0.03907945334528528,TRUE
ExportDeflator,-0.45676775528670704,76,dlog_cpi,1.7282219698845585,0.18747463031834202,9.218431138922341,1.196758223653129e-13,1.3542203156820576,2.1022236240870593,FALSE
